CC	KO	n_changes	parameter	var_type	variable
0.00267019032426	WT		GLK1	flux	PGM
-4.84933187957e-14	WT		GPD1	flux	PGM
-4.84933187957e-14	WT		GPD2	flux	PGM
0.00154905521917	WT		GPM1	flux	PGM
-4.84933187957e-14	WT		HOR2	flux	PGM
0.198000007495	WT		HXK1	flux	PGM
4.52812691137	WT		HXK2	flux	PGM
0.000736294771516	WT		PDC1	flux	PGM
8.22300781582e-06	WT		PDC5	flux	PGM
6.47310815687e-06	WT		PDC6	flux	PGM
-4.84933187957e-14	WT		PFK1	flux	PGM
0.173763335793	WT		PFK2	flux	PGM
0.0114990492195	WT		PGI1	flux	PGM
0.0965529168773	WT		PGK1	flux	PGM
-4.84933187957e-14	WT		PGM1	flux	PGM
0.378408428935	WT		ADH1	flux	PYK_CDC19
-1.59123518346e-14	WT		ADH5	flux	PYK_CDC19
0.0634599275817	WT		CDC19	flux	PYK_CDC19
0.00307289473797	WT		ENO1	flux	PYK_CDC19
0.0139545222001	WT		ENO2	flux	PYK_CDC19
0.10703240926	WT		FBA1	flux	PYK_CDC19
0.0010452539438	WT		GLK1	flux	PYK_CDC19
-1.59123518346e-14	WT		GPD1	flux	PYK_CDC19
-1.59123518346e-14	WT		GPD2	flux	PYK_CDC19
0.00290928786411	WT		GPM1	flux	PYK_CDC19
-1.59123518346e-14	WT		HOR2	flux	PYK_CDC19
0.0741373358918	WT		HXK1	flux	PYK_CDC19
1.78002735021	WT		HXK2	flux	PYK_CDC19
0.00138027400393	WT		PDC1	flux	PYK_CDC19
1.54123891166e-05	WT		PDC5	flux	PYK_CDC19
1.21337597583e-05	WT		PDC6	flux	PYK_CDC19
-1.59123518346e-14	WT		PFK1	flux	PYK_CDC19
0.373067769243	WT		PFK2	flux	PYK_CDC19
0.0270083226738	WT		PGI1	flux	PYK_CDC19
0.182927149319	WT		PGK1	flux	PYK_CDC19
-1.59123518346e-14	WT		PGM1	flux	PYK_CDC19
	WT		ADH1	flux	PYK_PYK2
	WT		ADH5	flux	PYK_PYK2
	WT		CDC19	flux	PYK_PYK2
	WT		ENO1	flux	PYK_PYK2
	WT		ENO2	flux	PYK_PYK2
	WT		FBA1	flux	PYK_PYK2
	WT		GLK1	flux	PYK_PYK2
	WT		GPD1	flux	PYK_PYK2
	WT		GPD2	flux	PYK_PYK2
	WT		GPM1	flux	PYK_PYK2
	WT		HOR2	flux	PYK_PYK2
	WT		HXK1	flux	PYK_PYK2
	WT		HXK2	flux	PYK_PYK2
	WT		PDC1	flux	PYK_PYK2
	WT		PDC5	flux	PYK_PYK2
	WT		PDC6	flux	PYK_PYK2
	WT		PFK1	flux	PYK_PYK2
	WT		PFK2	flux	PYK_PYK2
	WT		PGI1	flux	PYK_PYK2
	WT		PGK1	flux	PYK_PYK2
	WT		PGM1	flux	PYK_PYK2
0.214402202295	WT		ADH1	flux	TDH_TDH1
-1.27022725466e-14	WT		ADH5	flux	TDH_TDH1
0.0821744463803	WT		CDC19	flux	TDH_TDH1
0.00374858152577	WT		ENO1	flux	TDH_TDH1
0.0165660475302	WT		ENO2	flux	TDH_TDH1
0.0679225007565	WT		FBA1	flux	TDH_TDH1
0.000833593480387	WT		GLK1	flux	TDH_TDH1
-1.27022725466e-14	WT		GPD1	flux	TDH_TDH1
-1.27022725466e-14	WT		GPD2	flux	TDH_TDH1
0.00355274325205	WT		GPM1	flux	TDH_TDH1
-1.27022725466e-14	WT		HOR2	flux	TDH_TDH1
0.061108352211	WT		HXK1	flux	TDH_TDH1
1.43544636731	WT		HXK2	flux	TDH_TDH1
0.0016981251887	WT		PDC1	flux	TDH_TDH1
1.89655656825e-05	WT		PDC5	flux	TDH_TDH1
1.49295764987e-05	WT		PDC6	flux	TDH_TDH1
-1.27022725466e-14	WT		PFK1	flux	TDH_TDH1
0.290430978089	WT		PFK2	flux	TDH_TDH1
0.0196318043324	WT		PGI1	flux	TDH_TDH1
0.222709819689	WT		PGK1	flux	TDH_TDH1
-1.27022725466e-14	WT		PGM1	flux	TDH_TDH1
	WT		ADH1	flux	TDH_TDH2
	WT		ADH5	flux	TDH_TDH2
	WT		CDC19	flux	TDH_TDH2
	WT		ENO1	flux	TDH_TDH2
	WT		ENO2	flux	TDH_TDH2
	WT		FBA1	flux	TDH_TDH2
	WT		GLK1	flux	TDH_TDH2
	WT		GPD1	flux	TDH_TDH2
	WT		GPD2	flux	TDH_TDH2
	WT		GPM1	flux	TDH_TDH2
	WT		HOR2	flux	TDH_TDH2
	WT		HXK1	flux	TDH_TDH2
	WT		HXK2	flux	TDH_TDH2
	WT		PDC1	flux	TDH_TDH2
	WT		PDC5	flux	TDH_TDH2
	WT		PDC6	flux	TDH_TDH2
	WT		PFK1	flux	TDH_TDH2
	WT		PFK2	flux	TDH_TDH2
	WT		PGI1	flux	TDH_TDH2
	WT		PGK1	flux	TDH_TDH2
	WT		PGM1	flux	TDH_TDH2
0.389765157092	WT		ADH1	flux	TDH_TDH3
-2.03707621286e-14	WT		ADH5	flux	TDH_TDH3
0.0660258674237	WT		CDC19	flux	TDH_TDH3
0.00299578025378	WT		ENO1	flux	TDH_TDH3
0.0131733922843	WT		ENO2	flux	TDH_TDH3
0.10940068734	WT		FBA1	flux	TDH_TDH3
0.00105562615073	WT		GLK1	flux	TDH_TDH3
-2.03707621286e-14	WT		GPD1	flux	TDH_TDH3
-2.03707621286e-14	WT		GPD2	flux	TDH_TDH3
0.00283979452392	WT		GPM1	flux	TDH_TDH3
-2.03707621286e-14	WT		HOR2	flux	TDH_TDH3
0.0776448754199	WT		HXK1	flux	TDH_TDH3
1.80358254398	WT		HXK2	flux	TDH_TDH3
0.00135910332301	WT		PDC1	flux	TDH_TDH3
1.51784932441e-05	WT		PDC5	flux	TDH_TDH3
1.19484855602e-05	WT		PDC6	flux	TDH_TDH3
-2.03707621286e-14	WT		PFK1	flux	TDH_TDH3
0.378728114333	WT		PFK2	flux	TDH_TDH3
0.0254176292372	WT		PGI1	flux	TDH_TDH3
0.1781798283	WT		PGK1	flux	TDH_TDH3
-2.03707621286e-14	WT		PGM1	flux	TDH_TDH3
0.393498753616	WT		ADH1	flux	TPI
-1.93737724029e-14	WT		ADH5	flux	TPI
0.0680715631521	WT		CDC19	flux	TPI
0.00312609845592	WT		ENO1	flux	TPI
0.0138974888617	WT		ENO2	flux	TPI
0.107819431185	WT		FBA1	flux	TPI
0.0010577531641	WT		GLK1	flux	TPI
-1.93737724029e-14	WT		GPD1	flux	TPI
-1.93737724029e-14	WT		GPD2	flux	TPI
0.00296210198827	WT		GPM1	flux	TPI
-1.93737724029e-14	WT		HOR2	flux	TPI
0.0795708358597	WT		HXK1	flux	TPI
1.81137394876	WT		HXK2	flux	TPI
